transaction_id,date,type,category,description,amount,payment_method,need_or_want,merchant,month,year,day_name
1,2020-01-02,Expense,Food,Score each.,1485.69,Unknown,Need,Unknown,January,2020,Thursday
2,2020-01-02,Expense,Bills,Quality throughout.,1475.58,Unknown,Need,Unknown,January,2020,Thursday
3,2020-01-04,Expense,Bills,Instead ahead despite measure ago.,1185.08,Unknown,Need,Unknown,January,2020,Saturday
4,2020-01-05,Income,Investment,Information last everything thank serve.,2291.0,Unknown,Income,Unknown,January,2020,Sunday
5,2020-01-13,Expense,Food,Future choice whatever from.,1126.88,Unknown,Need,Unknown,January,2020,Monday
6,2020-01-14,Expense,Shopping,Benefit suggest page southern.,448.68,Unknown,Want,Unknown,January,2020,Tuesday
7,2020-01-18,Expense,Food,By two bad fall pick.,1520.03,Unknown,Need,Unknown,January,2020,Saturday
8,2020-01-19,Income,Income,Court attorney product significant world.,3287.0,Unknown,Income,Unknown,January,2020,Sunday
9,2020-01-21,Expense,Entertainment,Herself law.,1914.85,Unknown,Want,Unknown,January,2020,Tuesday
10,2020-01-25,Expense,Bills,Have decide environment.,766.06,Unknown,Need,Unknown,January,2020,Saturday
11,2020-01-25,Expense,Health,Play move each left establish.,1211.41,Unknown,Need,Unknown,January,2020,Saturday
12,2020-01-26,Expense,Others,Range successful simply.,1077.09,Unknown,Other,Unknown,January,2020,Sunday
13,2020-01-29,Expense,Shopping,Source husband.,166.81,Unknown,Want,Unknown,January,2020,Wednesday
14,2020-01-30,Expense,Health,Tree note responsibility.,1158.93,Unknown,Need,Unknown,January,2020,Thursday
15,2020-01-31,Expense,Food,How trip learn enter.,1325.91,Unknown,Need,Unknown,January,2020,Friday
16,2020-01-31,Expense,Bills,Much section investment on gun.,1712.08,Unknown,Need,Unknown,January,2020,Friday
17,2020-01-31,Expense,Shopping,Management sense technology check civil.,563.17,Unknown,Want,Unknown,January,2020,Friday
18,2020-02-02,Expense,Health,As high you more wife.,333.68,Unknown,Need,Unknown,February,2020,Sunday
19,2020-02-04,Expense,Travel,Race mr.,1406.62,Unknown,Need,Unknown,February,2020,Tuesday
20,2020-02-05,Expense,Bills,Born itself law west.,1222.17,Unknown,Need,Unknown,February,2020,Wednesday
21,2020-02-05,Income,Investment,Seven medical blood personal.,1838.0,Unknown,Income,Unknown,February,2020,Wednesday
22,2020-02-07,Expense,Travel,Current hear claim well two.,1979.15,Unknown,Need,Unknown,February,2020,Friday
23,2020-02-07,Expense,Entertainment,Food affect upon these story.,1372.38,Unknown,Want,Unknown,February,2020,Friday
25,2020-02-08,Expense,Food,Around there water.,465.81,Unknown,Need,Unknown,February,2020,Saturday
24,2020-02-08,Income,Income,Staff within mouth call.,3786.0,Unknown,Income,Unknown,February,2020,Saturday
26,2020-02-09,Expense,Entertainment,Close month parent who up.,1827.14,Unknown,Want,Unknown,February,2020,Sunday
27,2020-02-11,Expense,Health,Human public health.,433.13,Unknown,Need,Unknown,February,2020,Tuesday
28,2020-02-13,Expense,Others,Building different full open.,294.31,Unknown,Other,Unknown,February,2020,Thursday
29,2020-02-15,Income,Income,Detail audience piece director town.,4009.0,Unknown,Income,Unknown,February,2020,Saturday
30,2020-02-16,Expense,Shopping,Method everything.,730.37,Unknown,Want,Unknown,February,2020,Sunday
31,2020-02-16,Expense,Bills,Much rich think.,1023.96,Unknown,Need,Unknown,February,2020,Sunday
32,2020-02-18,Income,Investment,Drug list imagine behind.,1398.0,Unknown,Income,Unknown,February,2020,Tuesday
33,2020-02-19,Income,Investment,Interest level rock pull.,3958.0,Unknown,Income,Unknown,February,2020,Wednesday
